code,name,gdp,population
511900,巴中市,780.2800 ,262.9000 
512000,资阳市,948.2000 ,230.8600 
513200,阿坝藏族羌族自治州,503.1900 ,82.5000 
513300,甘孜藏族自治州,471.9400 ,110.3000 
513400,凉山彝族自治州,2081.4000 ,489.1000 
520100,贵阳市,4921.1700 ,622.0400 
520200,六盘水市,1503.5800 ,301.6700 
520300,遵义市,4401.2600 ,659.6500 
520400,安顺市,1080.9200 ,245.5500 
520500,毕节市,2206.5200 ,681.5900 
520600,铜仁市,1477.1900 ,326.4300 
522300,黔西南布依族苗族自治州,1508.6900 ,298.6900 
522600,黔东南苗族侗族自治州,1293.0800 ,373.1300 
522700,黔南布依族苗族自治州,1772.1800 ,347.2500 
530100,昆明市,7541.3700 ,860.0000 
530300,曲靖市,3802.2000 ,575.6000 
530400,玉溪市,2520.6000 ,224.9500 
530500,保山市,1262.4400 ,239.7000 
530600,昭通市,1541.0200 ,494.9000 
530700,丽江市,620.1000 ,123.8000 
530800,普洱市,1072.9700 ,237.0000 
530900,临沧市,1050.2300 ,220.2000 
532300,楚雄彝族自治州,1763.4200 ,237.2000 
532500,红河哈尼族彝族自治州,2863.0800 ,440.5000 
532600,文山壮族苗族自治州,1405.3900 ,345.4000 
532800,西双版纳傣族自治州,778.2689 ,133.3000 
532900,大理白族自治州,1731.1000 ,334.2000 
533100,德宏傣族景颇族自治州,587.1200 ,132.1000 
533300,怒江傈僳族自治州,262.0900 ,54.6000 
533400,迪庆藏族自治州,303.3620 ,39.1000 
540100,拉萨市,747.5700 ,86.7900 
540200,日喀则市,361.9200 ,79.8200 
540300,昌都市,279.2400 ,76.1000 
540400,林芝市,235.6600 ,23.8900 
540500,山南市,242.9800 ,35.3200 
542400,那曲地区,181.0000 ,50.4800 
542500,阿里地区,77.6500 ,12.3300 
610100,西安市,12010.7600 ,1307.8200 
610200,铜川市,510.6300 ,70.5000 
610300,宝鸡市,2743.1000 ,326.4700 
610400,咸阳市,2817.5500 ,416.9000 
610500,渭南市,2201.1300 ,461.9000 
610600,延安市,2280.2400 ,226.1400 
610700,汉中市,1905.4500 ,318.0000 
610800,榆林市,6543.6500 ,361.6100 
610900,安康市,1268.6500 ,247.1400 
611000,商洛市,902.5600 ,202.0600 
620100,兰州市,3487.3000 ,442.5100 
620200,嘉峪关市,362.6000 ,31.6300 
620300,金昌市,522.5200 ,43.4400 
620400,白银市,635.5300 ,150.2100 
620500,天水市,856.7800 ,290.7200 
620600,武威市,708.0800 ,142.7300 
620700,张掖市,608.0100 ,110.4600 
620800,平凉市,668.5700 ,178.5800 
620900,酒泉市,840.9000 ,105.3100 
621000,庆阳市,1100.3700 ,213.2500 
621100,定西市,600.1000 ,248.2400 
621200,陇南市,602.7000 ,234.2200 
622900,临夏回族自治州,439.7000 ,210.1100 
623000,甘南藏族自治州,245.1200 ,68.3700 
630100,西宁市,1644.3500 ,248.0000 
630200,海东市,562.7900 ,135.5000 
632200,海北藏族自治州,105.1600 ,26.2000 
632300,黄南藏族自治州,110.8900 ,28.1044 
632500,海南藏族自治州,200.2700 ,45.0000 
632600,果洛藏族自治州,51.5000 ,21.5600 
632700,玉树藏族自治州,72.2700 ,43.2000 
632800,海西蒙古族藏族自治州,842.5500 ,46.8000 
640100,银川市,2535.6300 ,289.6800 
640200,石嘴山市,693.3400 ,75.1800 
640300,吴忠市,867.0300 ,139.9100 
640400,固原市,409.6800 ,115.1900 
640500,中卫市,563.8900 ,108.0400 
650100,乌鲁木齐市,4168.4600 ,408.4800 
650200,克拉玛依市,1188.1000 ,48.7000 
650400,吐鲁番市,526.5600 ,69.1700 
650500,哈密市,868.9900 ,67.0000 
652300,昌吉回族自治州,2329.5200 ,162.0000 
652700,博尔塔拉蒙古自治州,481.6600 ,48.8200 
652800,巴音郭楞蒙古自治州,1519.8400 ,149.8500 
652900,阿克苏地区,1739.5400 ,272.5700 
653000,克孜勒苏柯尔克孜自治州,217.1200 ,62.4700 
653100,喀什地区,1368.5600 ,450.6900 
653200,和田地区,525.9100 ,250.4700 
654000,伊犁哈萨克自治州,3023.9800 ,284.8400 
654200,塔城地区,877.4700 ,111.0000 
654300,阿勒泰地区,399.7100 ,66.8600 
659000,自治区直辖县级行政区划,800.0000 ,123.1100 
810000,香港,26927.3400 ,750.0700 
820000,澳门,3309.3100 ,68.5400 
